Title,Location,Company,Salary,Description
Program Manager (AI / Machine Learning),"Seattle, WA",TELUS,None,"Basic knowledge of machine learning data processing.
The Program Manager will function as a strategic, client-facing, results-driven and innovative operations…"
Senior Machine Learning Scientist - Protein Design,"Seattle, WA 98109 (South Lake Union area)",Novo Nordisk,None,Critically evaluate experimental data and incorporate this knowledge into design of experiments to improve predictability and learnings of machine learning…
Machine Learning Research Engineer,"Seattle, WA 98103 (Fremont area)",Adobe,None,"Solid machine learning skills, including practical experience in deep learning.
Knowledge of machine learning methods used in computer vision, computer graphics…"
"SDE I, Machine Learning University","Seattle, WA","Amazon Web Services, Inc.",None,MLU is looking for a software development engineer (SDE) that has experience developing in native AWS and is excited about building tools that support MLU’s…
"AI/ML - Machine Learning Scientist, Siri Understanding","Seattle, WA",Apple,None,"Strong background in machine learning and deep learning; experience in speech, speaker, and/or language recognition a plus, but not required."
Machine Learning Engineer,"Redmond, WA",ThinkInTree Inc,$70 - $75 an hour,"Design, develop, implement, and continuously improve various Production models (Propensity to Call, Upsell, Churn, ML Content Personalization, Data Anomaly…"
Machine Learning Engineer,"Seattle, WA 98121 (Belltown area)",Cloudentity,None,"Develop and improve machine learning models.
Extensive knowledge of machine learning evaluation metrics and best practices."
Software Development Engineer Machine Learning Intern,"Seattle, WA",Amazon.com Services LLC,None,"Currently enrolled in a Bachelor’s or Master’s degree program in Computer Science, Computer Engineering, or related technical discipline with a focus on…"
Machine Learning Engineer - Payment Protection,"Seattle, WA",Sift,None,"Experience training machine learning models end-to-end.
Collaborate with other teams to build new ways to use machine learning within Sift."
AI/ML - Machine Learning Engineering - Information Intellige...,"Seattle, WA",Apple,None,Practical experience building production quality applications related to natural language processing and machine learning.
Senior Technical Product Manager - Machine Learning,"Seattle, WA",Redfin,None,"Experiences shipping machine learning products for pricing or recommendation systems is a big plus.
Strong experience driving the full product lifecycle for…"
"Machine Learning Engineer, Remote Sensing Imagery","Seattle, WA",Rebellion Defense,None,Our team is a close-knit team of multi-disciplinary software engineers and researchers responsible for applying models that detect signals in the vast amounts…
Machine Learning Engineer - Global AI,"Seattle, WA 98104 (Downtown area)",Slalom Consulting,None,"Relevant experience in machine learning and/or statistics.
American Cancer Society: Finding breast cancer patterns with machine learning.
A real passion for AI."
